in:Span,in:Side height,in:Trust Type,in:Segments,in:Midspan deflection,in:Shape exponent,in:Krümmungsanteil,in:MaterialSwitch bottom,in:MaterialSwitch top,in:MaterialSwitch right_dia,in:MaterialSwitch left_dia,in:MaterialSwitch vertical,in:MaterialSwitch column,in:TIMBER Type Switch bottom,in:TIMBER Type Switch top,in:TIMBER Type Switch right dia,in:TIMBER Type Switch left dia,in:TIMBER Type Switch vertical,in:TIMBER Type Switch column,in:STEEL CrossSectionSwitch bottom,in:STEEL CrossSectionSwitch top,in:STEEL CrossSectionSwitch right Diagonal,in:STEEL CrossSectionSwitch left Diagonal,in:STEEL CrossSectionSwitch vertical,in:STEEL CrossSectionSwitch column,in:Diameter_bottom,in:Diameter_top,in:Diameter_r_diagonal,in:Diameter_l_diagonal,in:Diameter_vertical,in:Diameter_column,in:Number of bars_bottom,in:Number of bars_top,in:Number of bars_r_diagonal,in:Number of bars_l_diagonal,in:Number of bars_vertical,in:Number of bars_column,out:wlc_Minimise_CO2,out:imgFile,img
30,1.5,1,17,0.52,0.76,0.25,0,1,0,0,1,1,6,24,9,0,23,2,4,12,7,12,13,13,3,8,3,3,1,1,6,10,6,10,8,7,1.229e+6,img_0003.png,img_0003_Front.png
30,1.0,5,24,2.59,1.91,0.15,0,0,1,0,0,1,25,16,8,17,12,22,13,0,4,3,5,8,6,8,6,2,6,1,3,4,12,15,8,13,1.6551e+6,img_0004.png,img_0004_Front.png
30,2.8,6,18,1.69,1.75,0.45,0,1,1,0,1,1,1,8,21,6,3,6,12,0,10,0,12,6,6,2,8,0,6,7,13,1,11,7,12,1,974119.323945,img_0005.png,img_0005_Front.png
30,1.3,3,10,0.02,1.32,0.2,1,0,0,1,0,1,18,12,12,1,21,5,10,7,2,1,1,2,5,7,8,0,4,4,2,7,4,12,3,11,894473.10947,img_0006.png,img_0006_Front.png
30,2.4,4,24,1.45,1.42,0.86,0,1,0,1,1,0,9,13,9,7,24,3,10,6,12,1,5,0,1,5,6,0,6,5,10,13,3,9,15,18,1.6496e+7,img_0007.png,img_0007_Front.png
30,2.6,6,22,2.33,1.81,0.05,1,1,0,1,1,0,5,22,1,17,16,4,1,11,7,6,12,9,8,0,5,8,3,6,2,12,6,2,8,4,2.5233e+6,img_0008.png,img_0008_Front.png
30,1.8,3,24,3.23,1.42,0.06,0,1,0,1,1,1,4,3,21,3,7,25,6,11,3,5,13,13,2,5,3,7,4,4,14,19,6,4,17,7,1.1342e+7,img_0009.png,img_0009_Front.png
30,4.5,2,18,1.73,2.10,0.91,1,0,0,0,1,0,8,13,8,3,10,20,7,6,3,7,3,8,7,1,5,1,2,5,13,15,13,0,15,7,899630.651232,img_0010.png,img_0010_Front.png
30,1.5,6,5,2.86,1.07,0.76,1,1,0,0,0,0,3,5,2,13,7,4,8,8,10,7,7,10,8,8,2,6,2,3,15,7,7,0,8,12,1.7677e+6,img_0011.png,img_0011_Front.png
30,1.7,4,29,3.77,1.80,0.68,1,1,1,0,0,1,11,22,21,4,20,18,3,3,8,7,6,13,3,0,3,7,0,6,9,13,0,17,9,14,1.1653e+6,img_0012.png,img_0012_Front.png
30,3.6,1,20,1.02,1.56,0.53,1,0,0,0,0,1,10,5,17,25,25,16,7,13,9,4,13,2,5,2,4,3,7,0,5,8,15,5,18,17,858043.179967,img_0013.png,img_0013_Front.png
30,4.0,4,10,1.64,2.10,0.4,1,1,1,1,1,0,3,18,25,9,15,10,0,7,7,4,12,8,7,8,6,7,0,4,17,16,13,13,2,15,3.5282e+6,img_0014.png,img_0014_Front.png
30,3.0,2,28,3.37,1.41,0.84,1,0,1,1,1,0,6,19,10,21,2,3,11,0,3,9,10,12,1,8,1,8,0,2,1,4,16,2,14,18,4.2493e+6,img_0015.png,img_0015_Front.png
30,4.8,5,24,3.53,1.80,0.47,1,0,0,1,1,0,11,22,0,20,23,1,2,5,12,2,2,1,3,4,0,0,3,7,14,9,0,3,16,17,1.2618e+6,img_0016.png,img_0016_Front.png
30,4.3,2,9,3.95,1.91,0.24,1,0,1,0,1,1,25,23,8,8,4,24,13,7,11,10,6,1,7,6,2,3,6,8,13,11,2,10,4,14,695188.494637,img_0017.png,img_0017_Front.png
30,3.1,2,23,2.15,0.68,0.08,0,1,1,1,1,0,21,2,22,3,8,15,7,4,11,12,10,4,3,1,1,4,3,8,6,14,4,11,1,9,2.485e+6,img_0018.png,img_0018_Front.png
30,2.9,5,6,0.93,1.39,0.83,1,1,1,0,0,0,1,11,21,7,10,7,10,6,6,0,1,0,7,7,8,2,1,5,7,2,18,15,13,15,2.1297e+6,img_0019.png,img_0019_Front.png
30,0.2,2,27,1.28,0.5,0.71,0,0,1,1,0,1,12,20,12,18,7,15,10,0,6,5,7,4,7,0,8,4,5,2,9,12,16,3,19,4,6.765e+6,img_0020.png,img_0020_Front.png
30,0.8,3,25,2.92,2.13,0.57,0,1,1,1,0,1,14,16,7,5,3,14,7,2,7,12,5,8,7,7,0,5,0,7,2,15,5,13,8,12,2.3238e+6,img_0021.png,img_0021_Front.png
30,3.1,6,14,3.39,0.56,0.18,0,0,1,0,0,0,4,18,7,10,6,16,12,8,9,6,11,5,0,2,7,7,0,5,8,1,15,9,13,6,549227.798681,img_0022.png,img_0022_Front.png
30,2.4,3,15,3.70,0.90,0.2,0,1,0,1,0,1,13,5,10,17,8,0,4,8,3,11,2,9,3,0,8,8,6,2,19,13,0,14,12,6,851168.438858,img_0023.png,img_0023_Front.png
30,3.7,4,11,3.52,0.80,0.86,1,1,0,0,0,1,18,3,10,6,23,18,1,6,9,10,7,11,3,5,3,5,7,7,9,19,17,13,1,11,1.2449e+6,img_0024.png,img_0024_Front.png
30,0.3,4,1,1.88,0.67,0.26,1,0,1,0,0,0,9,12,18,9,17,6,5,1,7,7,6,7,0,4,1,3,0,3,16,8,1,12,10,18,1.1838e+7,img_0025.png,img_0025_Front.png
30,3.1,4,5,0.32,0.88,0.47,0,1,0,1,1,0,6,9,21,23,20,21,4,8,0,13,1,3,8,7,3,3,2,2,11,16,1,12,8,4,2.4617e+6,img_0026.png,img_0026_Front.png
30,2.3,4,11,2.92,2.41,0.7,1,0,0,1,1,0,18,10,2,20,8,18,11,5,9,5,6,9,0,3,8,0,5,4,6,18,18,10,16,9,8.1552e+6,img_0027.png,img_0027_Front.png
30,1.2,1,26,2.67,2.37,0.8,0,1,0,1,0,0,20,1,7,21,18,4,5,13,8,12,10,12,7,1,3,7,0,6,4,3,3,13,14,14,341689.681661,img_0028.png,img_0028_Front.png
30,4.3,2,22,1.42,0.66,0.93,1,0,0,0,1,0,4,4,17,1,7,17,13,1,8,10,9,9,8,2,8,2,0,6,14,12,9,5,13,1,390441.878863,img_0029.png,img_0029_Front.png
30,4.1,5,9,2.93,1.52,0.76,1,0,0,1,0,1,3,11,8,3,15,17,2,0,0,10,1,8,4,5,4,3,3,5,13,13,11,15,9,16,649840.250442,img_0030.png,img_0030_Front.png
30,3.1,4,7,3.6,1.42,0.19,1,0,0,1,1,0,17,17,22,15,9,15,6,8,6,9,3,1,5,7,0,3,6,0,6,2,2,5,10,19,2.1555e+6,img_0031.png,img_0031_Front.png
30,2.5,4,10,3.07,1.40,0.99,0,1,0,0,0,0,24,22,1,0,20,7,10,3,9,0,12,2,6,7,6,6,8,6,6,19,11,13,0,10,454103.868442,img_0032.png,img_0032_Front.png
30,4.7,5,6,0.44,0.99,0.1,0,1,1,0,1,0,15,13,11,6,19,11,6,8,10,13,13,8,8,3,8,4,2,4,8,1,10,9,4,1,1.261e+6,img_0033.png,img_0033_Front.png
30,0.3,3,5,1.90,2.45,0.64,1,0,0,0,0,1,13,10,11,9,16,11,7,0,13,8,6,2,4,5,6,1,7,6,8,3,3,10,10,17,920035.572558,img_0034.png,img_0034_Front.png
30,0.5,6,20,3.86,1.80,0.17,1,1,1,1,0,1,2,13,1,16,25,12,8,10,12,7,2,9,0,8,6,5,0,8,16,5,17,11,19,19,5.3058e+6,img_0035.png,img_0035_Front.png
30,2.2,3,22,2.29,1.68,0.81,1,1,0,1,0,0,8,17,15,4,14,2,0,4,2,2,12,9,6,4,4,0,4,7,9,12,18,15,4,6,1.4871e+6,img_0036.png,img_0036_Front.png
30,1.9,6,16,3.21,1.23,0.16,0,1,1,1,1,1,7,4,15,23,24,7,12,1,3,1,2,9,4,4,5,3,4,5,13,1,12,15,11,6,1.8334e+6,img_0037.png,img_0037_Front.png
30,3.9,1,28,1.31,1.31,0.67,1,1,0,0,1,1,1,15,6,0,13,8,10,0,8,10,2,11,7,0,3,8,4,1,3,2,2,5,18,19,2.1344e+6,img_0038.png,img_0038_Front.png
30,2.3,1,5,1.69,2.09,0.95,0,1,0,1,0,0,3,11,13,3,10,25,7,5,6,3,8,0,8,3,0,3,0,8,5,14,14,14,4,0,5.8203e+6,img_0039.png,img_0039_Front.png
30,0.6,1,5,0.24,2.25,0.49,0,0,0,0,1,1,25,19,24,24,24,6,13,4,13,5,13,7,5,4,3,6,2,2,6,15,0,18,13,6,892165.981081,img_0040.png,img_0040_Front.png
30,2.3,6,4,3.89,1.67,0.88,0,0,0,0,0,1,5,6,11,5,2,11,2,4,6,11,9,11,4,1,6,1,3,0,15,18,14,5,1,18,35964.301802,img_0041.png,img_0041_Front.png
30,2.5,4,7,1.83,1.61,0.12,0,1,1,0,1,1,18,0,0,6,4,2,0,0,7,9,5,7,7,4,1,4,3,4,3,13,7,6,17,18,6.5871e+6,img_0042.png,img_0042_Front.png
